0.251671469 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.253910589 10.0.0.1:56451 10.0.0.2:5001 32 0xed085397 0xed05e567 110 105 307200 25 29696
0.255291553 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.257536937 10.0.0.1:56451 10.0.0.2:5001 32 0xed085ee7 0xed05f65f 110 105 307200 25 29696
0.258929317 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.261201729 10.0.0.1:56451 10.0.0.2:5001 32 0xed087587 0xed060757 110 105 307200 26 29696
0.262563118 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.264820445 10.0.0.1:56451 10.0.0.2:5001 32 0xed0880d7 0xed06184f 110 105 307200 26 29696
0.266195663 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.268430270 10.0.0.1:56451 10.0.0.2:5001 32 0xed089777 0xed062947 111 105 307200 27 29696
0.269827829 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.272004239 10.0.0.1:56451 10.0.0.2:5001 32 0xed08ae17 0xed063a3f 111 105 307200 27 29696
0.273464766 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.275721174 10.0.0.1:56451 10.0.0.2:5001 32 0xed08b967 0xed064b37 111 105 307200 27 29696
0.277115355 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.279364038 10.0.0.1:56451 10.0.0.2:5001 32 0xed08d007 0xed065c2f 111 105 307200 28 29696
0.280730421 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 315904
0.282990764 10.0.0.1:56451 10.0.0.2:5001 32 0xed08db57 0xed066d27 111 105 315904 28 29696
0.284376404 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 324608
0.286628641 10.0.0.1:56451 10.0.0.2:5001 32 0xed08f1f7 0xed067e1f 111 105 324608 29 29696
0.288000820 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 333312
0.290272078 10.0.0.1:56451 10.0.0.2:5001 32 0xed090897 0xed068f17 112 105 333312 29 29696
0.291631147 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 342016
0.293874001 10.0.0.1:56451 10.0.0.2:5001 32 0xed0913e7 0xed06a00f 112 105 342016 30 29696
0.295267761 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 350720
0.297455612 10.0.0.1:56451 10.0.0.2:5001 32 0xed092a87 0xed06b107 112 105 350720 30 29696
0.298895681 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 359424
0.301157155 10.0.0.1:56451 10.0.0.2:5001 32 0xed0935d7 0xed06c1ff 112 105 359424 30 29696
0.302545664 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 368128
0.304803291 10.0.0.1:56451 10.0.0.2:5001 32 0xed094c77 0xed06d2f7 112 105 368128 30 29696
0.306166667 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 376832
0.308334139 10.0.0.1:56451 10.0.0.2:5001 32 0xed0957c7 0xed06e3ef 112 105 376832 31 29696
0.308560623 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 382464
0.310816659 10.0.0.1:56451 10.0.0.2:5001 32 0xed096e67 0xed06ef3f 113 105 382464 31 29696
